"Difficulty","Word","Meaning"
"easy","window","1. an opening in the wall or roof of a building or vehicle, fitted with glass in a frame to admit light or air and allow people to see out. <br> 2. a means of observing and learning about something."
"easy","orchard","a piece of enclosed land planted with fruit trees."
"easy","cram","1. completely fill (a place or container) to the point of overflowing. <br> 2. force (people or things) into a place or container that is or appears to be too small to contain them. <br> 3. study intensively over a short period of time just before an examination."
"easy","torture","1. the action or practice of inflicting severe pain or suffering on someone as a punishment or in order to force them to do or say something. <br> 2. great physical or mental suffering or anxiety."
"easy","parent","1. a person's father or mother. <br> 2. an organization or company which owns or controls a number of subsidiaries."
"easy","picnic","an occasion when a packed meal is eaten outdoors, especially during an outing to the countryside."
"easy","podium","1. a small platform on which a person may stand to be seen by an audience, as when making a speech or conducting an orchestra. <br> 2. (in some sporting events) a structure consisting of three adjacent platforms of different heights, on which the competitors finishing in first, second, and third places receive their awards."
"easy","dictator","a ruler with total power over a country, typically one who has obtained control by force."
"easy","eat","put (food) into the mouth and chew and swallow it."
"easy","wizard","1. (in legends and fairy tales) a man who has magical powers. <br> 2. a person who is very skilled in a particular field or activity."
"easy","smell","1. perceive or detect the odour or scent of (something). <br> 2. an unpleasant odour."
"easy","portrait","1. a painting, drawing, photograph, or engraving of a person, especially one depicting only the face or head and shoulders. <br> 2.  denoting a format of printed matter which is higher than it is wide."
"easy","season","1. each of the four divisions of the year (spring, summer, autumn, and winter) marked by particular weather patterns and daylight hours, resulting from the earth's changing position with regard to the sun. <br>  2. add salt, herbs, pepper, or other spices to (food)."
"easy","shuffle","1. walk by dragging one's feet along or without lifting them fully from the ground. <br> 2. rearrange (a pack of cards) by sliding them over each other quickly."
"easy","coward","person who is not brave, is easily frightened, or tries to avoid danger or difficulties"
"easy","marine","1. relating to or found in the sea. <br> 2. relating to shipping or naval matters."
"easy","orbit","1. the curved path of a celestial object or spacecraft round a star, planet, or moon, especially a periodic elliptical revolution. <br> 2. the path of an electron round an atomic nucleus."
"easy","soil","1. the upper layer of earth in which plants grow, a black or dark brown material typically consisting of a mixture of organic remains, clay, and rock particles. <br> 2. make dirty."
"medium","epidemic","1. a widespread occurrence of an infectious disease in a community at a particular time. <br> 2. a sudden, widespread occurrence of an undesirable phenomenon."
"medium","eerie","strange and frightening."
"medium","quarantine","a state, period, or place of isolation in which people or animals that have arrived from elsewhere or been exposed to infectious or contagious disease are placed."
"medium","coerce","persuade (an unwilling person) to do something by using force or threats."
"medium","intermittent","occurring at irregular intervals; not continuous or steady."
"medium","excerpt","a short extract from a film, broadcast, or piece of music or writing."
"medium","epitome","a person or thing that is a perfect example of a particular quality or type."
"medium","appropriate","1. suitable or proper in the circumstances. <br> 2. take (something) for one's own use, typically without the owner's permission. <br> 3. devote (money or assets) to a special purpose."
"medium","epilogue","a section or speech at the end of a book or play that serves as a comment on or a conclusion to what has happened."
"medium","hostile","showing or feeling opposition or dislike; unfriendly."
"medium","phobia","an extreme or irrational fear of or aversion to something."
"medium","plethora","a large or excessive amount of something."
"medium","adore","love and respect (someone) deeply."
"medium","anxious","1. feeling or showing worry, nervousness, or unease about something with an uncertain outcome. <br> 2. very eager or concerned to do something or for something to happen."
"medium","abbreviation","a shortened form of a word or phrase."
"medium","vigilant","keeping careful watch for possible danger or difficulties."
"medium","binge","1. indulge in an activity, especially eating, drinking, or taking drugs, to excess. <br> 2. watch multiple episodes of a television programme over a short period of time."
"medium","philanthropist","a person who seeks to promote the welfare of others, especially by the generous donation of money to good causes."
"medium","mandatory","required by law or mandate; compulsory."
"medium","incite","1. encourage or stir up (violent or unlawful behaviour). <br> 2. urge or persuade (someone) to act in a violent or unlawful way."
"medium","melancholy","a feeling of pensive sadness, typically with no obvious cause."
"medium","excavate","1. make (a hole or channel) by digging. <br> 2. remove earth carefully from (an area) in order to find buried remains."
"medium","succumb","1. fail to resist pressure, temptation, or some other negative force. <br> 2. die from the effect of a disease or injury."
"medium","monstrous","1. having the ugly or frightening appearance of a monster. <br> 2. inhumanly or outrageously evil or wrong. <br> 3.extraordinarily and dauntingly large."
"medium","frustrating","causing annoyance or upset because of an inability to change or achieve something."
"medium","coincidence","1. a remarkable concurrence of events or circumstances without apparent causal connection. <br> 2. the fact of corresponding in nature or in time of occurrence."
"medium","sonorous","1. capable of producing a deep or ringing sound. <br> 2. (of a person's voice or other sound) imposingly deep and full."
"medium","arrogant","having or revealing an exaggerated sense of one's own importance or abilities."
"medium","devastate","1. destroy or ruin. <br> 2. cause (someone) severe and overwhelming shock or grief."
"medium","chaos","complete disorder and confusion."
"medium","lukewarm","1. (of liquid or food that should be hot) only moderately warm; tepid. <br> 2. showing little enthusiasm."
"medium","extricate","free (someone or something) from a constraint or difficulty."
"medium","emulate","1. match or surpass (a person or achievement), typically by imitation. <br> 2. imitate."
"medium","monotone","1. (of a voice or other sound) unchanging in pitch; without intonation or expressiveness. <br> 2. without colour or variety; dull."
"medium","dictate","1. state or order authoritatively. <br> 2. say or read aloud (words to be typed, written down, or recorded on tape)."
"medium","naive","1. (of a person or action) showing a lack of experience, wisdom, or judgement. <br> 2. (of a person) natural and unaffected; innocent."
"medium","oath","1. a solemn promise, often invoking a divine witness, regarding one's future action or behaviour. <br> 2. a sworn declaration, such as the promise to tell the truth, in a court of law. <br> 3. a profane or offensive expression used to express anger or other strong emotions."
"medium","auspicious","1. conducive to success; favourable. <br> 2. giving or being a sign of future success."
"medium","gibberish","unintelligible or meaningless speech or writing; nonsense."
"medium","venom","1. a poisonous substance secreted by animals such as snakes, spiders, and scorpions and typically injected into prey or aggressors by biting or stinging. <br> 2. extreme malice and bitterness shown in someone's attitudes, speech, or actions."
"medium","pompous","affectedly grand, solemn, or self-important."
"medium","hurricane","a storm with a violent wind, in particular a tropical cyclone in the Caribbean."
"medium","nomad","1. a member of a people that travels from place to place to find fresh pasture for its animals and has no permanent home. <br> 2. a person who does not stay long in the same place; a wanderer."
"medium","lucrative","producing a great deal of profit."
"medium","audacious","1. showing a willingness to take surprisingly bold risks. <br> 2. showing an impudent lack of respect."
"medium","meticulous","showing great attention to detail; very careful and precise."
"medium","inordinate","unusually or disproportionately large; excessive."
"medium","currency","1. a system of money in general use in a particular country. <br> 2. the fact or quality of being generally accepted or in use."
"medium","timid","showing a lack of courage or confidence; easily frightened."
"medium","loathe","feel intense dislike or disgust for."
"medium","mock","1. tease or laugh at in a scornful or contemptuous manner. <br> 2. mimic (someone or something) scornfully or contemptuously. <br> 3. make a replica or imitation of something. "
"medium","adversity","a difficult or unpleasant situation."
"medium","candid","1. truthful and straightforward; frank. <br> 2. (of a photograph of a person) taken informally, especially without the subject's knowledge. "
"medium","resilience","1. the capacity to recover quickly from difficulties; toughness. <br> 2. the ability of a substance or object to spring back into shape; elasticity."
"medium","vulnerable","1. exposed to the possibility of being attacked or harmed, either physically or emotionally. <br> 2. (of a person) in need of special care, support, or protection because of age, disability, or risk of abuse or neglect."
"medium","furious","extremely angry"
"medium","frequent","occurring or done many times at short intervals."
"medium","jealous","feeling or showing an envious resentment of someone or their achievements, possessions, or perceived advantages."
"medium","garnish","decorate or embellish (something, especially food)."
"medium","covet","yearn to possess (something, especially something belonging to another)."
"medium","ominous","giving the worrying impression that something bad is going to happen; threateningly inauspicious."
"medium","expertise","expert skill or knowledge in a particular field."
"medium","enthusiasm","intense and eager enjoyment, interest, or approval."
"medium","profit","1. a financial gain, especially the difference between the amount earned and the amount spent in buying, operating, or producing something. <br> 2. advantage; benefit."
"medium","conspicuous","1. clearly visible. <br> 2. attracting notice or attention."
"medium","intricate","very complicated or detailed."
"medium","biography","an account of someone's life written by someone else."
"medium","aroma","a distinctive, typically pleasant smell."
"medium","turmoil","a state of great disturbance, confusion, or uncertainty."
"medium","alienate","make (someone) feel isolated or estranged."
"hard","taciturn","(of a person) reserved or uncommunicative in speech; saying little."
"hard","aesthetic","1. concerned with beauty or the appreciation of beauty. <br> 2. giving or designed to give pleasure through beauty."
"hard","fervid","1. intensely enthusiastic or passionate, especially to an excessive degree. <br> 2. hot, burning, or glowing."
"hard","livid","1. furiously angry. <br> 2. dark bluish grey in colour."
"hard","ecstatic","1. feeling or expressing overwhelming happiness or joyful excitement. <br> 2. involving an experience of mystic self-transcendence."
"hard","gusto","enjoyment and enthusiasm in doing something."
"hard","unprecedented","never done or known before."
"hard","vociferous","expressing or characterized by vehement opinions; loud and forceful."
"hard","stoic","a person who can endure pain or hardship without showing their feelings or complaining."
"hard","blasphemy","the action or offence of speaking sacrilegiously about God or sacred things; profane talk."
"hard","peril","serious and immediate danger."
"hard","usurp","1. take (a position of power or importance) illegally or by force. <br> 2. take the place of (someone in a position of power) illegally; supplant."
"hard","mayhem","violent or extreme disorder; chaos."
"hard","malevolence","the state or condition of being malevolent; hostility."
"hard","incredulous","(of a person or their manner) unwilling or unable to believe something."
"hard","opulence","great wealth or luxuriousness."
"hard","pilfer","steal (things of little value)."
"hard","empathy","the ability to understand and share the feelings of another."
"hard","copious","abundant in supply or quantity."
"hard","nonchalant","(of a person or manner) feeling or appearing casually calm and relaxed; not displaying anxiety, interest, or enthusiasm."
"hard","inexorable","1. impossible to stop or prevent. <br> 2. (of a person) impossible to persuade; unrelenting."
"hard","desecrate","treat (a sacred place or thing) with violent disrespect."
"hard","defection","the desertion of one's country or cause in favour of an opposing one."
"hard","eulogy","a speech or piece of writing that praises someone or something highly, especially a tribute to someone who has just died."
"hard","mountebank","a person who deceives others, especially in order to trick them out of their money; a charlatan."
"hard","chicanery","the use of deception or subterfuge to achieve one's purpose."
"hard","didactic","1. intended to teach, particularly in having moral instruction as an ulterior motive. <br> 2. in the manner of a teacher, particularly so as to appear patronizing."
"hard","munificence","the quality or action of being extremely generous."
"hard","parsimonious","very unwilling to spend money or use resources."
"hard","embroil","involve (someone) deeply in an argument, conflict, or difficult situation."
"hard","impasse","a situation in which no progress is possible, especially because of disagreement; a deadlock."
"hard","maudlin","1. self-pityingly or tearfully sentimental. <br> 2. (of a book, film, or song) highly sentimental."
"hard","neologism","a newly coined word or expression; the coining or use of new words."
"hard","languish","1. (of a person, animal, or plant) lose or lack vitality; grow weak. <br> 2. fail to make progress or be successful."
"hard","alacrity","brisk and cheerful readiness."
"hard","ebullient","cheerful and full of energy."
"hard","surreptitious","kept secret, especially because it would not be approved of."
"hard","obliterate","1. destroy utterly; wipe out. <br> 2. make invisible or indistinct; conceal or cover."
"hard","subjugate","1. bring under domination or control, especially by conquest. <br> 2. make someone or something subordinate to."
"hard","gormandise","eat good food, especially to excess."
"hard","grovel","1. lie or crawl abjectly on the ground with one's face downwards. <br> 2. act in an obsequious way in order to obtain someone's forgiveness or favour."
"hard","malinger","pretend to be ill in order to escape duty or work."
"hard","valiant","possessing or showing courage or determination."
"hard","martinet","a person who demands complete obedience; a strict disciplinarian."
"hard","accentuate","1. make more noticeable or prominent. <br> 2. stress or single out as important <br> 3. put stress on; utter with an accent"
"hard","flaunt","display (something) ostentatiously, especially in order to provoke envy or admiration or to show defiance."
"hard","ravage","cause severe and extensive damage to."
"hard","jeopardize","put (someone or something) into a situation in which there is a danger of loss, harm, or failure."
"hard","mitigate","1. make (something bad) less severe, serious, or painful. <br> 2. lessen the gravity of (an offence or mistake)."
"hard","belittle","dismiss (someone or something) as unimportant."
"hard","nonplus","surprise and confuse (someone) so much that they are unsure how to react."
"hard","culpable","deserving blame."
"hard","ransack","1. go through (a place) stealing things and causing damage. <br> 2. search (a place or receptacle) thoroughly, especially in such a way as to cause harm."
"hard","cosset","care for and protect in an overindulgent way."
"hard","adulate","praise (someone) excessively."
"hard","avarice","extreme greed for wealth or material gain."
"hard","bravado","a bold manner or a show of boldness intended to impress or intimidate."
"hard","impetus","1. the force or energy with which a body moves. <br> 2. something that makes a process or activity happen or happen more quickly."
"hard","expiate","make amends or reparation for (guilt or wrongdoing)."
"hard","enunciate","1. say or pronounce clearly. <br> 2. express (a proposition, theory, etc.) in clear or definite terms."
"hard","misanthrope","a person who dislikes humankind and avoids human society."
"hard","voracious","1. wanting or devouring great quantities of food. <br> 2. engaging in an activity with great eagerness or enthusiasm."
"hard","confiscate","1. take or seize (someone's property) with authority. <br> 2. appropriate (something, especially land) to the public treasury as a penalty."
"hard","cynic","1. a person who believes that people are motivated purely by self-interest rather than acting for honourable or unselfish reasons. <br> 2. a person who questions whether something will happen or whether it is worthwhile."
"hard","expedite","make (an action or process) happen sooner or be accomplished more quickly."
"hard","frivolous","1. not having any serious purpose or value. <br> 2. (of a person) carefree and superficial."
"hard","vapid","offering nothing that is stimulating or challenging; bland."
"hard","perfidious","deceitful and untrustworthy."
"hard","garrulous","excessively talkative, especially on trivial matters."
"hard","euphoria","a feeling or state of intense excitement and happiness."
